xSteel Tliquidus H T Herr OX_LIQUID_m OX_LIQUID_xU OX_LIQUID_xZR OX_LIQUID_xFE OX_LIQUID_xUO2 OX_LIQUID_xZRO2 OX_LIQUID_xFEO OX_LIQUID_xFE2O3 MET_LIQUID_m MET_LIQUID_xU MET_LIQUID_xZR MET_LIQUID_xFE MET_LIQUID_xUO2 MET_LIQUID_xZRO2 MET_LIQUID_xFEO MET_LIQUID_xFE2O3 C1_FCC_m C1_FCC_xU C1_FCC_xZR C1_FCC_xFE C1_FCC_xUO2 C1_FCC_xZRO2 C1_FCC_xFEO C1_FCC_xFE2O3
0.000000E+00 2.647230E+03 -2.516423E+06 2.900000E+03 0.000000E+00 1.000000E+00 1.554782E-01 8.619945E-02 2.943614E-12 5.851698E-01 1.731525E-01 4.086261E-13 4.954075E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
5.000000E-02 2.776490E+03 -2.449940E+06 2.904933E+03 -4.947328E-02 8.621883E-01 9.571028E-02 5.137199E-02 1.076733E-03 6.332733E-01 2.185017E-01 6.537599E-05 3.611225E-07 1.878117E-01 5.642509E-01 1.559715E-01 2.610224E-01 9.144618E-03 9.594516E-03 1.608093E-05 1.675718E-08 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-01 2.809498E+03 -2.383458E+06 2.868823E+03 -8.321368E-03 8.171507E-01 7.392539E-02 3.724674E-02 9.667610E-04 6.493755E-01 2.383757E-01 1.089929E-04 7.454043E-07 2.828493E-01 5.001733E-01 1.344992E-01 3.504687E-01 6.695350E-03 8.134863E-03 2.855633E-05 3.186407E-08 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500000E-01 2.824087E+03 -2.316975E+06 2.823908E+03 1.103742E-01 7.896574E-01 6.134414E-02 2.908690E-02 8.543482E-04 6.577832E-01 2.507929E-01 1.372561E-04 1.072927E-06 3.573892E-01 4.511686E-01 1.187618E-01 4.175401E-01 5.246782E-03 7.246412E-03 3.629697E-05 4.124253E-08 2.953460E-03 3.210722E-02 1.895133E-02 0.000000E+00 7.706782E-01 1.782464E-01 1.677798E-05 0.000000E+00
2.000000E-01 2.831807E+03 -2.250492E+06 2.824345E+03 5.450961E-02 6.430078E-01 5.428342E-02 2.548447E-02 8.736664E-04 6.517451E-01 2.674339E-01 1.777405E-04 1.509783E-06 4.225824E-01 4.056003E-01 1.105751E-01 4.716750E-01 4.685791E-03 7.411991E-03 5.173440E-05 6.274762E-08 1.344098E-01 2.684241E-02 1.722661E-02 0.000000E+00 7.616041E-01 1.943042E-01 2.255113E-05 0.000000E+00
2.500000E-01 2.836309E+03 -2.184010E+06 2.822815E+03 -1.892902E-01 5.026129E-01 4.937516E-02 2.298542E-02 8.891595E-04 6.446525E-01 2.818817E-01 2.139195E-04 1.934261E-06 4.832269E-01 3.683138E-01 1.036025E-01 5.161728E-01 4.261994E-03 7.581778E-03 6.700807E-05 8.538671E-08 2.641603E-01 2.303445E-02 1.595116E-02 0.000000E+00 7.515348E-01 2.094515E-01 2.801800E-05 0.000000E+00
3.000000E-01 2.839109E+03 -2.117527E+06 2.820638E+03 -5.310085E-01 3.661100E-01 4.578998E-02 2.114908E-02 9.028480E-04 6.372880E-01 2.946212E-01 2.463876E-04 2.342278E-06 5.413358E-01 3.373378E-01 9.756257E-02 5.533412E-01 3.930885E-03 7.745636E-03 8.176703E-05 1.083897E-07 3.925541E-01 2.018129E-02 1.497630E-02 0.000000E+00 7.411589E-01 2.236503E-01 3.314560E-05 0.000000E+00
3.500000E-01 2.840932E+03 -2.051044E+06 2.818388E+03 2.020451E-01 2.323114E-01 4.306835E-02 1.973779E-02 9.154203E-04 6.300765E-01 3.059231E-01 2.758336E-04 2.734922E-06 5.979106E-01 3.112591E-01 9.226737E-02 5.848116E-01 3.666063E-03 7.899832E-03 9.589882E-05 1.313701E-07 5.197780E-01 1.798159E-02 1.420830E-02 0.000000E+00 7.309195E-01 2.368526E-01 3.794681E-05 0.000000E+00
4.000000E-01 2.842166E+03 -1.984562E+06 2.816309E+03 -7.448300E-01 1.005384E-01 4.093449E-02 1.861344E-02 9.271193E-04 6.232354E-01 3.159833E-01 3.028567E-04 3.114674E-06 6.534987E-01 2.890449E-01 8.757947E-02 6.117726E-01 3.450324E-03 8.043111E-03 1.093972E-04 1.541456E-07 6.459629E-01 1.624400E-02 1.358647E-02 0.000000E+00 7.210784E-01 2.490486E-01 4.245057E-05 0.000000E+00
4.500000E-01 2.843028E+03 -1.918079E+06 2.806047E+03 -3.646854E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 7.083966E-01 2.707416E-01 8.291583E-02 6.350895E-01 3.186149E-03 7.950721E-03 1.159893E-04 1.651109E-07 7.416034E-01 1.463472E-02 1.275872E-02 0.000000E+00 7.138798E-01 2.586810E-01 4.564330E-05 0.000000E+00
