xSteel Tliquidus H T Herr OX_LIQUID_m OX_LIQUID_xU OX_LIQUID_xZR OX_LIQUID_xFE OX_LIQUID_xUO2 OX_LIQUID_xZRO2 OX_LIQUID_xFEO OX_LIQUID_xFE2O3 MET_LIQUID_m MET_LIQUID_xU MET_LIQUID_xZR MET_LIQUID_xFE MET_LIQUID_xUO2 MET_LIQUID_xZRO2 MET_LIQUID_xFEO MET_LIQUID_xFE2O3 C1_FCC_m C1_FCC_xU C1_FCC_xZR C1_FCC_xFE C1_FCC_xUO2 C1_FCC_xZRO2 C1_FCC_xFEO C1_FCC_xFE2O3
0.000000E+00 2.647230E+03 -2.516423E+06 2.900000E+03 0.000000E+00 1.000000E+00 1.554782E-01 8.619945E-02 4.279106E-12 5.851698E-01 1.731525E-01 5.200696E-13 7.431112E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
5.000000E-02 2.776490E+03 -2.449940E+06 2.904933E+03 -1.121881E-02 8.621884E-01 9.571028E-02 5.137200E-02 1.076735E-03 6.332733E-01 2.185017E-01 6.537613E-05 3.599404E-07 1.878116E-01 5.642508E-01 1.559715E-01 2.610224E-01 9.144627E-03 9.594523E-03 1.608098E-05 1.675725E-08 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-01 2.809498E+03 -2.383458E+06 2.868823E+03 -2.767507E-03 8.171507E-01 7.392539E-02 3.724674E-02 9.667610E-04 6.493755E-01 2.383757E-01 1.089929E-04 7.454043E-07 2.828493E-01 5.001733E-01 1.344992E-01 3.504687E-01 6.695350E-03 8.134863E-03 2.855633E-05 3.186407E-08 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500000E-01 2.824087E+03 -2.316975E+06 2.823761E+03 -4.725150E-03 7.893017E-01 6.141906E-02 2.913647E-02 8.544666E-04 6.576182E-01 2.508337E-01 1.368306E-04 1.068224E-06 3.573586E-01 4.512580E-01 1.186617E-01 4.175642E-01 5.244471E-03 7.235286E-03 3.627157E-05 4.120515E-08 3.339785E-03 3.214553E-02 1.897563E-02 0.000000E+00 7.705850E-01 1.782770E-01 1.672942E-05 0.000000E+00
2.000000E-01 2.831807E+03 -2.250492E+06 2.821056E+03 1.909914E-03 6.498756E-01 5.604618E-02 2.661942E-02 8.779799E-04 6.476244E-01 2.686651E-01 1.653509E-04 1.362009E-06 4.217215E-01 4.094427E-01 1.062539E-01 4.726176E-01 4.651764E-03 6.982864E-03 5.110356E-05 6.176948E-08 1.284029E-01 2.771173E-02 1.782669E-02 0.000000E+00 7.592443E-01 1.951961E-01 2.109289E-05 0.000000E+00
2.500000E-01 2.836309E+03 -2.184010E+06 2.816275E+03 1.535248E-01 5.163591E-01 5.296502E-02 2.524346E-02 9.005281E-04 6.356786E-01 2.850257E-01 1.849583E-04 1.570550E-06 4.821777E-01 3.757959E-01 9.587323E-02 5.172683E-01 4.214725E-03 6.782786E-03 6.500809E-05 8.220493E-08 2.514625E-01 2.470509E-02 1.721146E-02 0.000000E+00 7.462886E-01 2.117702E-01 2.453242E-05 0.000000E+00
3.000000E-01 2.839109E+03 -2.117527E+06 2.810645E+03 -5.879382E-02 3.868184E-01 5.148678E-02 2.464836E-02 9.234640E-04 6.226387E-01 3.001046E-01 1.962282E-04 1.690292E-06 5.403370E-01 3.479538E-01 8.714536E-02 5.543299E-01 3.876083E-03 6.617094E-03 7.765271E-05 1.016546E-07 3.728437E-01 2.270105E-02 1.700597E-02 0.000000E+00 7.325955E-01 2.276704E-01 2.696965E-05 0.000000E+00
3.500000E-01 2.840932E+03 -2.051044E+06 2.804587E+03 2.765469E-01 2.604328E-01 5.128084E-02 2.467974E-02 9.473171E-04 6.088358E-01 3.140549E-01 1.995921E-04 1.721040E-06 5.969987E-01 3.244041E-01 7.976539E-02 5.856639E-01 3.603153E-03 6.474501E-03 8.891405E-05 1.196263E-07 4.925678E-01 2.146025E-02 1.715387E-02 0.000000E+00 7.187071E-01 2.426504E-01 2.834841E-05 0.000000E+00
4.000000E-01 2.842166E+03 -1.984562E+06 2.798089E+03 -1.049346E-01 1.370587E-01 5.222523E-02 2.530026E-02 9.724986E-04 5.942082E-01 3.270968E-01 1.952891E-04 1.664022E-06 6.526082E-01 3.041402E-01 7.348388E-02 6.125581E-01 3.374094E-03 6.344878E-03 9.866635E-05 1.356590E-07 6.103331E-01 2.085227E-02 1.764556E-02 0.000000E+00 7.048673E-01 2.566062E-01 2.862054E-05 0.000000E+00
4.500000E-01 2.843028E+03 -1.918079E+06 2.790849E+03 5.624367E-02 1.713812E-02 5.436023E-02 2.656391E-02 9.995293E-04 5.783554E-01 3.395359E-01 1.834451E-04 1.522813E-06 7.074340E-01 2.864647E-01 6.810211E-02 6.359361E-01 3.172501E-03 6.217721E-03 1.066677E-04 1.491120E-07 7.254279E-01 2.082656E-02 1.851262E-02 0.000000E+00 6.910721E-01 2.695610E-01 2.774276E-05 0.000000E+00
