xSteel Tliquidus H T Herr OX_LIQUID_m OX_LIQUID_xU OX_LIQUID_xZr OX_LIQUID_xFe OX_LIQUID_xUO2 OX_LIQUID_xZrO2 OX_LIQUID_xFeO OX_LIQUID_xFe2O3 OX_LIQUID_xO MET_LIQUID_m MET_LIQUID_xU MET_LIQUID_xZr MET_LIQUID_xFe MET_LIQUID_xUO2 MET_LIQUID_xZrO2 MET_LIQUID_xFeO MET_LIQUID_xFe2O3 MET_LIQUID_xO C1_FCC_m C1_FCC_xU C1_FCC_xZr C1_FCC_xFe C1_FCC_xUO2 C1_FCC_xZrO2 C1_FCC_xFeO C1_FCC_xFe2O3 C1_FCC_xO
0.00 2647.656 -2516416 2900.000 0.000  1.0 0.155472 0.0861983 0.0 0.585176 0.173154 0.0 0.0 1.05528e-07 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 
0.05 2776.562 -2406687 2983.557 -0.006  0.865896 0.0962581 0.0527807 0.00128891 0.633859 0.215722 8.99318e-05 5.21106e-07 2.99602e-07 0.184104 0.556293 0.157188 0.265173 0.0106127 0.0107072 2.55432e-05 2.99867e-08 0.0 0. 0. 0. 0. 0. 0. 0. 0. 0. 
0.10 2811.719 -2296957 3014.433 0.230  0.823373 0.0752483 0.0398305 0.0013343 0.650642 0.232756 0.000186717 1.36653e-06 4.78362e-07 0.276627 0.487713 0.136094 0.357041 0.00899787 0.0100885 6.53131e-05 9.01784e-08 7.33292e-09 0. 0. 0. 0. 0. 0. 0. 0. 0. 
0.15 2826.094 -2187228 3026.600 -0.008  0.8003 0.0633587 0.0324941 0.00133256 0.659759 0.242771 0.000281231 2.37706e-06 6.25324e-07 0.3497 0.436602 0.120107 0.425297 0.00805204 0.00982887 0.000113359 1.72725e-07 8.26298e-09 0. 0. 0. 0. 0. 0. 0. 0. 0. 
0.20 2832.969 -2077498 3030.452 0.004  0.784918 0.0554225 0.0276932 0.00131667 0.665229 0.249967 0.00036727 3.43343e-06 7.41099e-07 0.415082 0.397098 0.107047 0.478672 0.00737462 0.00964462 0.000163111 2.65937e-07 8.84479e-09 0. 0. 0. 0. 0. 0. 0. 0. 0. 
0.25 2836.094 -1967769 3030.196 0.688  0.773489 0.0496302 0.024269 0.00129668 0.668677 0.255677 0.000444239 4.4813e-06 8.31559e-07 0.476511 0.36539 0.0962352 0.521812 0.0068532 0.00949753 0.000211205 3.61941e-07 9.19251e-09 0. 0. 0. 0. 0. 0. 0. 0. 0. 
0.30 2839.219 -1858039 3027.817 0.538  0.764436 0.0451559 0.0216805 0.00127609 0.670934 0.260434 0.000513122 5.49944e-06 9.02871e-07 0.535564 0.339152 0.0872156 0.557562 0.00643683 0.00937712 0.000256265 4.5665e-07 9.39941e-09 0. 0. 0. 0. 0. 0. 0. 0. 0. 
0.35 2842.344 -1748310 3024.335 0.175  0.756965 0.0415608 0.0196405 0.00125619 0.672459 0.264501 0.000575183 6.48177e-06 9.60015e-07 0.593035 0.316928 0.0796278 0.587772 0.00609633 0.00927751 0.00029791 5.47908e-07 9.51178e-09 0. 0. 0. 0. 0. 0. 0. 0. 0. 
0.40 2842.969 -1638581 3020.309 0.008  0.75062 0.0385873 0.0179821 0.00123744 0.673522 0.268031 0.000631587 7.42847e-06 1.00675e-06 0.64938 0.297764 0.0731856 0.613706 0.00581281 0.00919431 0.000336215 6.34932e-07 9.57061e-09 0. 0. 0. 0. 0. 0. 0. 0. 0. 
0.45 2843.594 -1528851 3016.053 -0.006  0.745118 0.0360734 0.0166013 0.00121997 0.674286 0.271127 0.000683298 8.3415e-06 1.04577e-06 0.704882 0.281007 0.0676651 0.636258 0.00557328 0.00912416 0.00037145 7.17699e-07 9.60104e-09 0. 0. 0. 0. 0. 0. 0. 0. 0. 
0.50 2844.219 -1419122 3011.751 -0.012  0.740269 0.0339106 0.0154301 0.00120376 0.674852 0.273862 0.000731094 9.22443e-06 1.07903e-06 0.759731 0.26619 0.0628919 0.65608 0.00536844 0.00906434 0.00040394 7.96173e-07 9.6108e-09 0. 0. 0. 0. 0. 0. 0. 0. 0. 
